Region,Sub_region,Borough,Code,Ward,P16plus,NoQual,Level1,Level2,Level3,Level4_5,Other
London,Inner London,Lewisham,00AZGK,Evelyn,10102,2973,1309,1766,894,2577,583
London,Inner London,Lewisham,00AZGL,Forest Hill,10408,2043,1329,1868,1010,3661,497
London,Inner London,Lewisham,00AZGM,Grove Park,10306,2874,1774,1956,851,2157,694
London,Inner London,Lewisham,00AZGN,Ladywell,9481,1932,1090,1446,957,3563,493
London,Inner London,Lewisham,00AZGP,Lee Green,9171,1898,1162,1516,853,3281,461
London,Inner London,Lewisham,00AZGQ,Lewisham Central,10216,2201,1349,1666,940,3511,549
London,Inner London,Lewisham,00AZGR,New Cross,11138,2728,1462,1972,1125,3173,678
London,Inner London,Lewisham,00AZGS,Perry Vale,10595,2320,1525,1952,974,3254,570
London,Inner London,Lewisham,00AZGT,Rushey Green,9897,2137,1557,1777,968,2876,582
London,Inner London,Lewisham,00AZGU,Sydenham,11142,2757,1723,2086,992,2954,630
London,Inner London,Lewisham,00AZGW,Telegraph Hill,10857,2474,1301,1660,1113,3744,565
London,Inner London,Lewisham,00AZGX,Whitefoot,9140,3011,1769,1786,600,1340,634
London,Outer London,Merton,00BAFX,Abbey,7623,1123,653,1003,806,3753,285
London,Outer London,Merton,00BAFY,Cannon Hill,6868,1638,1053,1306,607,1740,524
London,Outer London,Merton,00BAFZ,Colliers Wood,7392,1376,911,1218,792,2728,367
London,Outer London,Merton,00BAGA,Cricket Green,7067,2279,1137,1291,558,1328,474
London,Outer London,Merton,00BAGB,Dundonald,7326,781,558,966,797,3939,285
London,Outer London,Merton,00BAGC,Figge`s Marsh,6999,1986,1113,1358,606,1476,460
London,Outer London,Merton,00BAGD,Graveney,7290,1513,942,1406,860,2156,413
London,Outer London,Merton,00BAGE,Hillside,7242,494,381,832,806,4525,204
London,Outer London,Merton,00BAGF,Lavender Fields,7187,1731,1035,1218,694,2071,438
London,Outer London,Merton,00BAGG,Longthornton,6899,1636,1299,1376,583,1562,443
London,Outer London,Merton,00BAGH,Lower Morden,6162,1679,1196,1306,451,1029,501
London,Outer London,Merton,00BAGJ,Merton Park,6893,1009,662,1119,764,3011,328
London,Outer London,Merton,00BAGK,Pollards Hill,6887,2039,1228,1366,531,1153,570
London,Outer London,Merton,00BAGL,Ravensbury,6460,2043,1129,1131,490,1211,456
London,Outer London,Merton,00BAGM,Raynes Park,6933,941,607,1115,727,3272,271
London,Outer London,Merton,00BAGN,St Helier,6265,2116,1108,1076,432,1021,512
London,Outer London,Merton,00BAGP,Trinity,7049,911,492,913,697,3803,233
London,Outer London,Merton,00BAGQ,Village,6405,466,331,955,767,3698,188
London,Outer London,Merton,00BAGR,West Barnes,7054,1209,903,1373,741,2395,433
London,Outer London,Merton,00BAGS,Wimbledon Park,7475,843,556,988,837,3966,285
London,Inner London,Newham,00BBGB,Beckton,9202,2639,1310,1644,969,2110,530
London,Inner London,Newham,00BBGC,Boleyn,8484,2963,1283,1391,688,1614,545
London,Inner London,Newham,00BBGD,Canning Town North,8349,3262,1108,1304,623,1520,532
London,Inner London,Newham,00BBGE,Canning Town South,7725,3328,931,1178,498,1274,516
London,Inner London,Newham,00BBGF,Custom House,8285,2895,1158,1317,649,1729,537
London,Inner London,Newham,00BBGG,East Ham Central,8483,2716,1240,1440,821,1781,485
London,Inner London,Newham,00BBGH,East Ham North,7935,2630,1169,1387,739,1647,363
London,Inner London,Newham,00BBGJ,East Ham South,8442,3066,1379,1412,605,1406,574
London,Inner London,Newham,00BBGK,Forest Gate North,9036,2650,1218,1456,799,2392,521
London,Inner London,Newham,00BBGL,Forest Gate South,10050,2924,1293,1687,1026,2608,512
London,Inner London,Newham,00BBGM,Green Street East,9104,3225,1208,1484,858,1761,568
London,Inner London,Newham,00BBGN,Green Street West,8914,3225,1246,1450,819,1703,471
London,Inner London,Newham,00BBGP,Little Ilford,8959,3183,1405,1491,737,1636,507
London,Inner London,Newham,00BBGQ,Manor Park,8438,2826,1194,1317,857,1731,513
London,Inner London,Newham,00BBGR,Plaistow North,9111,3104,1225,1441,770,1927,644
London,Inner London,Newham,00BBGS,Plaistow South,8365,2785,1223,1344,714,1779,520
London,Inner London,Newham,00BBGT,Royal Docks,4529,1308,485,709,417,1366,244
London,Inner London,Newham,00BBGU,Stratford and New Town,8904,2615,1138,1369,856,2400,526
London,Inner London,Newham,00BBGW,Wall End,8894,2779,1303,1527,909,1843,533
London,Inner London,Newham,00BBGX,West Ham,9059,3061,1179,1374,812,2058,575
London,Outer London,Redbridge,00BCFY,Aldborough,8275,2113,1463,1692,701,1706,600
London,Outer London,Redbridge,00BCFZ,Barkingside,8010,1984,1268,1688,780,1810,480
London,Outer London,Redbridge,00BCGA,Bridge,8153,2162,1538,1696,665,1516,576
London,Outer London,Redbridge,00BCGB,Chadwell,7759,2032,1661,1699,594,1256,517
London,Outer London,Redbridge,00BCGC,Church End,7446,1202,931,1474,1140,2334,365
London,Outer London,Redbridge,00BCGD,Clayhall,8554,2122,1230,1753,866,2046,537
London,Outer London,Redbridge,00BCGE,Clementswood,7818,2373,1204,1400,711,1684,446
London,Outer London,Redbridge,00BCGF,Cranbrook,8643,1931,1130,1655,903,2575,449
London,Outer London,Redbridge,00BCGG,Fairlop,7413,2145,1531,1589,566,1053,529
London,Outer London,Redbridge,00BCGH,Fullwell,8009,2463,1483,1649,575,1227,612
London,Outer London,Redbridge,00BCGJ,Goodmayes,8085,1960,1331,1573,739,2012,470
London,Outer London,Redbridge,00BCGK,Hainault,7752,2941,1546,1405,425,894,541
London,Outer London,Redbridge,00BCGL,Loxford,9123,2501,1454,1696,866,2135,471
London,Outer London,Redbridge,00BCGM,Mayfield,8118,2386,1238,1608,664,1613,609
London,Outer London,Redbridge,00BCGN,Monkhams,7219,1235,1010,1557,729,2302,386
London,Outer London,Redbridge,00BCGP,Newbury,9310,2313,1334,1987,902,2243,531
London,Outer London,Redbridge,00BCGQ,Roding,7796,1747,1351,1591,662,1953,492
London,Outer London,Redbridge,00BCGR,Seven Kings,8719,2280,1312,1791,825,2030,481
London,Outer London,Redbridge,00BCGS,Snaresbrook,7985,1492,915,1485,754,3005,334
London,Outer London,Redbridge,00BCGT,Valentines,8656,1990,1145,1552,880,2623,466
London,Outer London,Redbridge,00BCGU,Wanstead,8457,1719,1157,1582,723,2794,482
London,Outer London,Richmond upon Thames,00BDFW,Barnes,7066,781,459,1103,821,3643,259
London,Outer London,Richmond upon Thames,00BDFX,East Sheen,6901,573,491,1097,910,3633,197
London,Outer London,Richmond upon Thames,00BDFY,Fulwell and Hampton Hill,6944,974,729,1209,785,2960,287
London,Outer London,Richmond upon Thames,00BDFZ,Ham Petersham and Richmond Riverside,6967,1420,717,1101,725,2632,372
London,Outer London,Richmond upon Thames,00BDGA,Hampton,6729,1074,831,1299,674,2533,318
London,Outer London,Richmond upon Thames,00BDGB,Hampton North,6606,1338,916,1381,683,1875,413
London,Outer London,Richmond upon Thames,00BDGC,Hampton Wick,6684,819,565,1073,840,3153,234
London,Outer London,Richmond upon Thames,00BDGD,Heathfield,6856,1895,1127,1373,611,1343,507
London,Outer London,Richmond upon Thames,00BDGE,Kew,6944,649,421,944,797,3940,193
London,Outer London,Richmond upon Thames,00BDGF,Mortlake and Barnes Common,7477,922,580,1107,828,3782,258
London,Outer London,Richmond upon Thames,00BDGG,North Richmond,7311,952,527,1051,786,3720,275
London,Outer London,Richmond upon Thames,00BDGH,St Margarets and North Twickenham,7537,685,534,1108,957,4042,211
London,Outer London,Richmond upon Thames,00BDGJ,South Richmond,8078,666,502,1022,988,4657,243
London,Outer London,Richmond upon Thames,00BDGK,South Twickenham,6892,649,525,1111,1106,3281,220
London,Outer London,Richmond upon Thames,00BDGL,Teddington,7188,697,621,1141,798,3696,235
London,Outer London,Richmond upon Thames,00BDGM,Twickenham Riverside,7450,569,488,997,885,4322,189
London,Outer London,Richmond upon Thames,00BDGN,West Twickenham,7263,1331,877,1315,736,2599,405
London,Outer London,Richmond upon Thames,00BDGP,Whitton,6648,1402,1027,1419,659,1718,423
London,Inner London,Southwark,00BEGC,Brunswick Park,8153,1871,908,1210,807,2931,426
London,Inner London,Southwark,00BEGD,Camberwell Green,9334,2605,1131,1466,805,2766,561
London,Inner London,Southwark,00BEGE,Cathedrals,10450,2061,936,1519,1647,3844,443
London,Inner London,Southwark,00BEGF,Chaucer,10150,2090,881,1309,1601,3818,451
London,Inner London,Southwark,00BEGG,College,7696,1501,786,1157,760,3155,337
London,Inner London,Southwark,00BEGH,East Dulwich,8521,1552,777,1205,858,3793,336
London,Inner London,Southwark,00BEGJ,East Walworth,8900,2654,1062,1306,909,2471,498
London,Inner London,Southwark,00BEGK,Faraday,9063,2958,1228,1570,727,2017,563
London,Inner London,Southwark,00BEGL,Grange,9158,2374,1057,1260,996,3011,460
London,Inner London,Southwark,00BEGM,Livesey,8541,2895,1056,1367,642,1979,602
London,Inner London,Southwark,00BEGN,Newington,9375,2600,1075,1449,874,2879,498
London,Inner London,Southwark,00BEGP,Nunhead,7746,2347,941,1210,677,2106,465
London,Inner London,Southwark,00BEGQ,Peckham,7707,2216,1038,1368,628,1956,501
London,Inner London,Southwark,00BEGR,Peckham Rye,8406,1734,983,1288,727,3238,436
London,Inner London,Southwark,00BEGS,Riverside,8638,2040,810,1069,804,3556,359
London,Inner London,Southwark,00BEGT,Rotherhithe,8562,2173,1029,1232,769,2939,420
London,Inner London,Southwark,00BEGU,South Bermondsey,8522,2659,1260,1340,711,2028,524
London,Inner London,Southwark,00BEGW,South Camberwell,8663,1629,878,1178,995,3588,395
London,Inner London,Southwark,00BEGX,Surrey Docks,9487,1616,841,1188,958,4494,390
London,Inner London,Southwark,00BEGY,The Lane,8870,2274,1007,1209,798,3101,481
London,Inner London,Southwark,00BEGZ,Village,7547,1004,445,955,690,4260,193
London,Outer London,Sutton,00BFGC,Beddington North,7245,1772,1496,1684,571,1191,531
London,Outer London,Sutton,00BFGD,Beddington South,7205,1952,1234,1533,602,1327,557
London,Outer London,Sutton,00BFGE,Belmont,7347,1178,1032,1632,776,2342,387
London,Outer London,Sutton,00BFGF,Carshalton Central,7144,1373,1222,1594,766,1740,449
London,Outer London,Sutton,00BFGG,Carshalton South and Clockhouse,6915,1458,1142,1582,600,1713,420
London,Outer London,Sutton,00BFGH,Cheam,6817,1264,972,1592,674,1885,430
London,Outer London,Sutton,00BFGJ,Nonsuch,7124,1656,1385,1622,633,1235,593
London,Outer London,Sutton,00BFGK,St Helier,7113,2687,1457,1348,367,726,528
London,Outer London,Sutton,00BFGL,Stonecot,7406,1921,1624,1613,596,1016,636
London,Outer London,Sutton,00BFGM,Sutton Central,7466,1714,1291,1494,825,1680,462
London,Outer London,Sutton,00BFGN,Sutton North,6996,1857,1336,1495,576,1196,536
London,Outer London,Sutton,00BFGP,Sutton South,6673,992,888,1283,680,2481,349
London,Outer London,Sutton,00BFGQ,Sutton West,7607,1247,1222,1636,750,2378,374
London,Outer London,Sutton,00BFGR,The Wrythe,7401,2068,1598,1550,581,1067,537
London,Outer London,Sutton,00BFGS,Wallington North,7277,1566,1450,1655,636,1484,486
London,Outer London,Sutton,00BFGT,Wallington South,6818,1425,1112,1616,675,1580,410
London,Outer London,Sutton,00BFGU,Wandle Valley,7399,2331,1594,1487,511,951,525
London,Outer London,Sutton,00BFGW,Worcester Park,7223,1672,1462,1520,619,1422,528
London,Inner London,Tower Hamlets,00BGFW,Bethnal Green North,8475,3026,894,1038,888,2272,357
London,Inner London,Tower Hamlets,00BGFX,Bethnal Green South,9668,3532,1031,1195,938,2620,352
London,Inner London,Tower Hamlets,00BGFY,Blackwall and Cubitt Town,9485,2584,852,1149,924,3617,359
London,Inner London,Tower Hamlets,00BGFZ,Bow East,6738,2382,729,825,607,1893,302
London,Inner London,Tower Hamlets,00BGGA,Bow West,8012,2387,790,984,790,2713,348
London,Inner London,Tower Hamlets,00BGGB,Bromley-by-Bow,7793,3354,1030,1001,610,1421,377
London,Inner London,Tower Hamlets,00BGGC,East India and Lansbury,7806,3448,1069,963,620,1307,399
London,Inner London,Tower Hamlets,00BGGD,Limehouse,9005,3185,1005,1125,783,2501,406
London,Inner London,Tower Hamlets,00BGGE,Mile End and Globe Town,8417,3212,846,995,1000,2018,346
London,Inner London,Tower Hamlets,00BGGF,Mile End East,7966,3046,883,991,802,1895,349
London,Inner London,Tower Hamlets,00BGGG,Millwall,10521,2191,878,1298,1044,4751,359
London,Inner London,Tower Hamlets,00BGGH,St Dunstan`s and Stepney Green,8609,3477,835,1040,744,2147,366
London,Inner London,Tower Hamlets,00BGGJ,St Katherine`s and Wapping,9147,1844,744,1105,947,4199,308
London,Inner London,Tower Hamlets,00BGGK,Shadwell,8458,3186,875,1105,778,2199,315
London,Inner London,Tower Hamlets,00BGGL,Spitalfields and Banglatown,6156,2174,595,738,577,1841,231
London,Inner London,Tower Hamlets,00BGGM,Weavers,8381,3275,849,1098,611,2220,328
London,Inner London,Tower Hamlets,00BGGN,Whitechapel,8792,2835,812,1060,916,2881,288
London,Outer London,Waltham Forest,00BHFX,Cann Hall,8185,2328,1261,1387,686,2016,507
London,Outer London,Waltham Forest,00BHFY,Cathall,7695,2195,1057,1303,710,2005,425
London,Outer London,Waltham Forest,00BHFZ,Chapel End,7837,2187,1456,1438,614,1658,484
London,Outer London,Waltham Forest,00BHGA,Chingford Green,6756,1934,1187,1340,508,1282,505
London,Outer London,Waltham Forest,00BHGB,Endlebury,7367,2187,1365,1575,588,1113,539
London,Outer London,Waltham Forest,00BHGC,Forest,7884,2082,1020,1260,784,2309,429
London,Outer London,Waltham Forest,00BHGD,Grove Green,8791,2182,1156,1461,871,2702,419
London,Outer London,Waltham Forest,00BHGE,Hale End and Highams Park,7160,1920,1347,1461,564,1401,467
London,Outer London,Waltham Forest,00BHGF,Hatch Lane,6861,2227,1275,1284,525,1040,510
London,Outer London,Waltham Forest,00BHGG,High Street,8478,2137,1091,1323,840,2654,433
London,Outer London,Waltham Forest,00BHGH,Higham Hill,7827,2701,1208,1327,563,1485,543
London,Outer London,Waltham Forest,00BHGJ,Hoe Street,8573,2198,1030,1353,761,2798,433
London,Outer London,Waltham Forest,00BHGK,Larkswood,7488,2352,1406,1584,539,1039,568
London,Outer London,Waltham Forest,00BHGL,Lea Bridge,9009,2595,1410,1496,854,2095,559
London,Outer London,Waltham Forest,00BHGM,Leyton,8836,2790,1249,1501,762,2001,533
London,Outer London,Waltham Forest,00BHGN,Leytonstone,8202,1765,905,1334,839,2992,367
London,Outer London,Waltham Forest,00BHGP,Markhouse,8006,2393,1122,1297,697,2056,441
London,Outer London,Waltham Forest,00BHGQ,Valley,7612,2523,1457,1548,517,974,593
London,Outer London,Waltham Forest,00BHGR,William Morris,8243,2145,1162,1359,753,2422,402
London,Outer London,Waltham Forest,00BHGS,Wood Street,8231,2443,1173,1364,621,2098,532
London,Inner London,Wandsworth,00BJFZ,Balham,10351,1229,642,1209,1055,5914,302
London,Inner London,Wandsworth,00BJGA,Bedford,10570,1369,835,1356,1087,5561,362
London,Inner London,Wandsworth,00BJGB,Earlsfield,10228,1900,898,1400,1073,4529,428
London,Inner London,Wandsworth,00BJGC,East Putney,10666,1073,617,1260,1070,6300,346
London,Inner London,Wandsworth,00BJGD,Fairfield,10000,1282,677,1295,1050,5380,316
London,Inner London,Wandsworth,00BJGE,Furzedown,10174,2118,1115,1605,1153,3717,466
London,Inner London,Wandsworth,00BJGF,Graveney,10568,1947,1046,1514,1125,4547,389
London,Inner London,Wandsworth,00BJGG,Latchmere,9472,2285,1061,1368,870,3371,517
London,Inner London,Wandsworth,00BJGH,Nightingale,10405,1240,705,1322,1059,5782,297
London,Inner London,Wandsworth,00BJGJ,Northcote,10238,1110,564,1132,1017,6155,260
London,Inner London,Wandsworth,00BJGK,Queenstown,9937,1931,902,1430,1048,4145,481
London,Inner London,Wandsworth,00BJGL,Roehampton,9363,2552,1017,1372,1741,2161,520
London,Inner London,Wandsworth,00BJGM,St Mary`s Park,9920,1758,824,1414,1237,4251,436
London,Inner London,Wandsworth,00BJGN,Shaftesbury,10417,1596,681,1168,920,5676,376
London,Inner London,Wandsworth,00BJGP,Southfields,11066,1544,876,1490,1206,5533,417
London,Inner London,Wandsworth,00BJGQ,Thamesfield,9967,950,483,1103,1037,6139,255
London,Inner London,Wandsworth,00BJGR,Tooting,10612,2069,947,1427,1278,4432,459
London,Inner London,Wandsworth,00BJGS,Wandsworth Common,10350,1522,911,1625,1144,4734,414
London,Inner London,Wandsworth,00BJGT,West Hill,11080,2206,946,1525,1437,4360,606
London,Inner London,Wandsworth,00BJGU,West Putney,9263,1737,737,1273,1111,4017,388
London,Inner London,Westminster,00BKGA,Abbey Road,7326,870,461,923,821,4060,191
London,Inner London,Westminster,00BKGB,Bayswater,6861,743,439,736,866,3853,224
London,Inner London,Westminster,00BKGC,Bryanston and Dorset Square,9204,862,446,1045,1465,5124,262
London,Inner London,Westminster,00BKGD,Churchill,6219,1694,688,987,630,1891,329
London,Inner London,Westminster,00BKGE,Church Street,4845,1511,528,668,517,1361,260
London,Inner London,Westminster,00BKGF,Harrow Road,6666,1516,749,911,711,2501,278
London,Inner London,Westminster,00BKGG,Hyde Park,8697,911,417,946,1270,4900,253
London,Inner London,Westminster,00BKGH,Knightsbridge and Belgravia,7472,784,455,1110,1525,3374,224
London,Inner London,Westminster,00BKGJ,Lancaster Gate,10282,1157,517,1104,1417,5723,364
London,Inner London,Westminster,00BKGK,Little Venice,6487,926,390,752,701,3496,222
London,Inner London,Westminster,00BKGL,Maida Vale,7648,1167,597,919,764,3862,339
London,Inner London,Westminster,00BKGM,Marylebone High Street,7661,661,389,828,1019,4513,251
London,Inner London,Westminster,00BKGN,Queen`s Park,6783,2115,808,1092,608,1754,406
London,Inner London,Westminster,00BKGP,Regent`s Park,8499,1258,519,952,1000,4479,291
London,Inner London,Westminster,00BKGQ,St James`s,7308,1302,686,1196,793,3040,291
London,Inner London,Westminster,00BKGR,Tachbrook,6883,1049,480,875,785,3446,248
London,Inner London,Westminster,00BKGS,Vincent Square,6773,1208,603,887,833,2992,250
London,Inner London,Westminster,00BKGT,Warwick,6960,933,446,853,784,3714,230
London,Inner London,Westminster,00BKGU,Westbourne,7511,1970,752,1011,747,2691,340
London,Inner London,Westminster,00BKGW,West End,6392,864,376,850,895,3183,224
